"DistTypeID","DistTypeName","OnOffSwitch","Description","IsStandReplacing","IsMultiYear","MultiYearCount"
133,"eastern Hemlock Looper Moderate defoliation",0,"eastern Hemlock Looper Moderate defoliation",0,0,0
134,"eastern Hemlock Looper Severe defoliation",0,"eastern Hemlock Looper Severe defoliation",0,0,0
135,"eastern Hemlock Looper Severe cumulative defoliation",0,"eastern Hemlock Looper Severe cumulative defoliation",0,0,0
136,"Mountain Pine Beetle – Very Severe Impact",0,"Very Severe Impact (50% Softwood Mortality)",0,0,0
137,"Mountain Pine Beetle - Severe Impact",0,"Severe Impact (30% Softwood Mortality)",0,0,0
138,"Mountain Pine Beetle - Moderate Impact",0,"Moderate Impact (10% Softwood Mortality)",0,0,0
139,"Mountain Pine Beetle - Low Impact",0,"Low Impact (5% Softwood Mortality)",0,0,0
140,"Spruce Beetle 20% mortality",0,"Spruce Beetle 20% mortality",1,0,0
141,"Spruce Beetle 10% mortality",0,"Spruce Beetle 10% mortality",1,0,0
142,"Spruce Beetle 2% mortality",0,"Spruce Beetle 2% mortality",1,0,0
143,"Deforestation-agriculture - crop-salvage and burn ",0,"Deforestation-agriculture - crop-salvage and burn ",1,0,0
144,"Deforestation-agriculture - crop-salvage and decay",0,"Deforestation-agriculture - crop-salvage and decay",1,0,0
145,"Deforestation-agriculture - pasture -salvage and burn ",0,"Deforestation-agriculture - pasture -salvage and burn ",1,0,0
146,"Deforestation-agriculture - pasture -salvage and decay",0,"Deforestation-agriculture - pasture -salvage and decay",1,0,0
147,"Deforestation-forestry-salvage and burn ",0,"Deforestation-forestry-salvage and burn ",1,0,0
148,"Deforestation-forestry-salvage and decay",0,"Deforestation-forestry-salvage and decay",1,0,0
149,"Deforestation-hydro - right of way-salvage and burn ",0,"Deforestation-hydro - right of way-salvage and burn ",1,0,0
150,"Deforestation-hydro - right of way-salvage and decay",0,"Deforestation-hydro - right of way-salvage and decay",1,0,0
151,"Deforestation-hydro reservoir-salvage and decay",0,"Deforestation-hydro reservoir-salvage and decay",1,0,0
152,"Deforestation-hydro reservoir-no salvage or burn ",0,"Deforestation-hydro reservoir-no salvage or burn ",1,0,0
153,"Deforestation-industry-salvage and burn ",0,"Deforestation-industry-salvage and burn ",1,0,0
154,"Deforestation-industry-salvage and decay",0,"Deforestation-industry-salvage and decay",1,0,0
155,"Deforestation-oil and gas-salvage and burn ",0,"Deforestation-oil and gas-salvage and burn ",1,0,0
156,"Deforestation-oil and gas-salvage and decay",0,"Deforestation-oil and gas-salvage and decay",1,0,0
