"DefaultSPUID","DefaultSpeciesTypeID","A","B","a_nonmerch","b_nonmerch","k_nonmerch","cap_nonmerch","a_sap","b_sap","k_sap","cap_sap","a1","a2","a3","b1","b2","b3","c1","c2","c3","min_volume","max_volume","low_stemwood_prop","high_stemwood_prop","low_stembark_prop","high_stembark_prop","low_branches_prop","high_branches_prop","low_foliage_prop","high_foliage_prop"
33,29,0.39,0.99,1.35,-0.05,0.00,1.28,26.22,-1.78,0.99,1.11,-1.15,7.4e-04,-0.17,0.55,5.3e-04,-0.40,-0.33,-6.0e-05,-0.31,7.78,423.80,0.46,0.69,0.09,0.10,0.29,0.12,0.15,0.07
33,41,0.73,0.91,4.69,-0.62,0.82,1.19,100.00,-1.68,0.98,1.06,-2.40,-6.39e-04,0.16,0.70,1.1e-03,-0.40,4.42,3.63e-03,-1.26,127.45,477.88,0.55,0.59,0.10,0.11,0.18,0.17,0.15,0.11
33,43,0.58,0.95,2.42,-0.52,0.94,2.01,2.78,-2.10,1.10,1.20,-1.11,3.212e-03,-0.25,-0.60,-1.02e-03,-0.18,-1.24,-2.0e-03,-0.23,1.68,199.54,0.56,0.71,0.11,0.11,0.21,0.12,0.10,0.04
33,44,0.58,0.95,2.42,-0.52,0.94,2.01,2.78,-2.10,1.10,1.20,-1.11,3.212e-03,-0.25,-0.60,-1.02e-03,-0.18,-1.24,-2.0e-03,-0.23,1.68,199.54,0.56,0.71,0.11,0.11,0.21,0.12,0.10,0.04
33,62,0.50,0.97,8.73,-0.66,0.71,4.11,26.62,-1.23,0.95,1.76,-1.17,-6.16e-04,-0.02,-3.03,-8.4e-04,0.23,-2.16,1.12e-03,-0.28,0.66,802.90,0.69,0.76,0.20,0.12,0.04,0.08,0.04,0.03
33,63,0.50,0.97,8.73,-0.66,0.71,4.11,26.62,-1.23,0.95,1.76,-1.17,-6.16e-04,-0.02,-3.03,-8.4e-04,0.23,-2.16,1.12e-03,-0.28,0.66,802.90,0.69,0.76,0.20,0.12,0.04,0.08,0.04,0.03
33,65,0.55,0.94,1.68,-0.10,0.00,1.54,26.62,-1.23,0.95,1.76,-2.37,-2.379e-03,0.25,-2.59,-1.75e-03,0.25,-0.46,3.4e-03,-0.67,1.10,504.08,0.68,0.74,0.10,0.10,0.08,0.11,0.12,0.03
33,76,0.74,0.92,24.78,-0.77,0.26,2.91,100.00,-1.01,0.06,1.90,-1.72,-1.364e-03,0.02,-3.44,-8.78e-03,0.60,-2.33,5.52e-03,-0.22,20.68,154.95,0.69,0.70,0.12,0.11,0.13,0.12,0.03,0.05
33,171,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,174,0.61,0.94,23.18,-0.85,0.74,7.31,100.00,-1.61,0.97,1.51,-1.76,-1.1e-04,-0.08,-1.95,-6.1e-04,-0.01,-1.98,-1.57e-03,-0.05,0.52,643.08,0.70,0.82,0.10,0.07,0.09,0.06,0.08,0.02
34,2,0.58,0.96,11.65,-0.49,0.06,5.24,7.99,-0.93,0.94,1.37,-1.39,-6.43e-04,-0.07,-1.25,-1.0e-03,-0.07,-0.86,-2.68e-03,-0.10,0.76,392.98,0.55,0.75,0.11,0.09,0.13,0.09,0.19,0.05
34,5,0.57,0.93,1.23,-0.03,0.00,1.09,7.99,-0.93,0.94,1.37,-1.59,3.14e-04,-0.07,-0.01,-2.6e-04,-0.30,1.06,2.0e-05,-0.61,7.66,658.35,0.44,0.75,0.07,0.11,0.20,0.08,0.27,0.04
34,6,0.46,0.97,1.28,-0.04,0.00,1.22,7.99,-0.93,0.94,1.37,-1.59,3.14e-04,-0.07,-0.01,-2.6e-04,-0.30,1.06,2.0e-05,-0.61,7.66,658.35,0.44,0.75,0.07,0.11,0.20,0.08,0.27,0.04
34,10,0.46,0.97,1.28,-0.04,0.00,1.22,7.99,-0.93,0.94,1.37,-1.59,3.14e-04,-0.07,-0.01,-2.6e-04,-0.30,1.06,2.0e-05,-0.61,7.66,658.35,0.44,0.75,0.07,0.11,0.20,0.08,0.27,0.04
34,14,0.42,1.02,14.50,-1.04,0.93,4.54,100.00,-1.61,0.97,1.51,-1.71,-1.643e-03,-0.07,-1.87,-4.8e-04,-0.08,-1.52,-1.73e-03,-0.22,0.52,228.62,0.69,0.82,0.11,0.06,0.09,0.06,0.10,0.03
34,15,0.61,0.94,24.12,-0.82,0.67,7.71,100.00,-1.61,0.97,1.51,-1.79,-1.55e-04,-0.07,-1.92,-6.5e-04,-0.02,-1.99,-1.68e-03,-0.04,0.63,643.08,0.70,0.82,0.10,0.07,0.09,0.06,0.08,0.02
34,29,0.39,0.99,1.35,-0.05,0.00,1.28,26.22,-1.78,0.99,1.11,-1.15,7.4e-04,-0.17,0.55,5.3e-04,-0.40,-0.33,-6.0e-05,-0.31,7.78,423.80,0.46,0.69,0.09,0.10,0.29,0.12,0.15,0.07
34,31,0.39,0.99,1.35,-0.05,0.00,1.28,26.22,-1.78,0.99,1.11,-1.15,7.4e-04,-0.17,0.55,5.3e-04,-0.40,-0.33,-6.0e-05,-0.31,7.78,423.80,0.46,0.69,0.09,0.10,0.29,0.12,0.15,0.07
