"DefaultSPUID","DefaultForestTypeID","A","B","a_nonmerch","b_nonmerch","k_nonmerch","cap_nonmerch","a_sap","b_sap","k_sap","cap_sap","a1","a2","a3","b1","b2","b3","c1","c2","c3","min_volume","max_volume","low_stemwood_prop","high_stemwood_prop","low_stembark_prop","high_stembark_prop","low_branches_prop","high_branches_prop","low_foliage_prop","high_foliage_prop"
17,2,0.93,0.87,11.03,-0.96,0.92,2.56,1.00,0.00,0.00,1.00,-1.73,-1.953e-04,-0.02,-1.70,1.618e-04,0.05,-1.97,-1.473e-03,-0.04,1.34,460.50,0.66,0.68,0.11,0.09,0.13,0.18,0.08,0.03
17,3,0.95,0.89,14.92,-1.09,0.96,2.52,1.00,0.00,0.00,1.00,-1.66,-8.911e-04,-0.02,-2.00,1.276e-04,0.13,-2.73,-2.214e-03,-6.1e-03,0.44,594.07,0.70,0.68,0.12,0.06,0.11,0.23,0.04,0.01
18,1,1.16,0.82,10.28,-1.07,0.96,2.83,1.00,0.00,0.00,1.00,-1.35,3.799e-04,-0.17,-0.77,1.2207e-03,-0.28,0.01,1.03e-04,-0.44,0.18,789.03,0.50,0.74,0.09,0.08,0.14,0.13,0.24,0.04
18,2,0.80,0.89,10.08,-0.95,0.90,2.81,1.00,0.00,0.00,1.00,-1.43,5.594e-04,-0.09,-1.67,-1.2512e-03,0.02,-0.36,-1.363e-03,-0.36,0.22,436.34,0.56,0.74,0.11,0.12,0.10,0.09,0.21,0.03
18,3,1.01,0.85,8.43,-0.93,0.91,3.81,1.00,0.00,0.00,1.00,-1.48,3.42e-04,-0.04,-1.23,-7.836e-04,-0.06,-0.45,-1.044e-03,-0.45,0.29,571.15,0.56,0.74,0.11,0.15,0.14,0.09,0.16,0.01
19,1,1.16,0.82,10.28,-1.07,0.96,2.83,1.00,0.00,0.00,1.00,-1.35,3.799e-04,-0.17,-0.77,1.2207e-03,-0.28,0.01,1.03e-04,-0.44,0.18,789.03,0.50,0.74,0.09,0.08,0.14,0.13,0.24,0.04
19,2,0.80,0.89,10.08,-0.95,0.90,2.81,1.00,0.00,0.00,1.00,-1.43,5.594e-04,-0.09,-1.67,-1.2512e-03,0.02,-0.36,-1.363e-03,-0.36,0.22,436.34,0.56,0.74,0.11,0.12,0.10,0.09,0.21,0.03
19,3,1.01,0.85,8.43,-0.93,0.91,3.81,1.00,0.00,0.00,1.00,-1.48,3.42e-04,-0.04,-1.23,-7.836e-04,-0.06,-0.45,-1.044e-03,-0.45,0.29,571.15,0.56,0.74,0.11,0.15,0.14,0.09,0.16,0.01
21,1,0.84,0.86,9.28,-1.29,0.99,2.02,1.00,0.00,0.00,1.00,-1.85,-4.392e-04,-0.04,-1.06,-1.517e-04,-0.17,-0.55,-6.2e-05,-0.33,0.16,499.74,0.57,0.78,0.08,0.07,0.14,0.08,0.19,0.05
21,2,0.63,0.92,12.25,-1.64,1.01,1.85,1.00,0.00,0.00,1.00,-1.51,3.14e-04,-0.05,-0.99,2.441e-04,-0.16,-0.16,8.08e-04,-0.47,0.31,529.19,0.53,0.71,0.10,0.12,0.15,0.10,0.20,0.04
