"DefaultSPUID","DefaultGenusID","A","B","a_nonmerch","b_nonmerch","k_nonmerch","cap_nonmerch","a_sap","b_sap","k_sap","cap_sap","a1","a2","a3","b1","b2","b3","c1","c2","c3","min_volume","max_volume","low_stemwood_prop","high_stemwood_prop","low_stembark_prop","high_stembark_prop","low_branches_prop","high_branches_prop","low_foliage_prop","high_foliage_prop"
11,9,1.00,0.83,17.35,-1.11,0.94,3.56,0.00,0.00,1.00,1.00,-1.36,1.299e-04,-0.05,-1.77,7.26e-05,0.07,-2.75,-1.195e-03,0.02,0.43,552.84,0.67,0.66,0.15,0.12,0.12,0.18,0.04,0.02
11,10,1.07,0.87,10.56,-1.03,0.95,2.41,0.00,0.00,1.00,1.00,-1.78,-2.54e-04,-0.01,-1.24,4.374e-04,4.71e-03,-2.51,-1.998e-03,0.01,0.33,416.76,0.65,0.65,0.10,0.09,0.18,0.23,0.05,0.02
11,11,0.73,0.96,9.86,-1.05,0.96,2.25,0.00,0.00,1.00,1.00,-1.53,3.581e-04,-0.11,-1.36,-1.0769e-03,0.05,-2.30,-2.153e-03,-0.08,0.27,637.21,0.64,0.75,0.11,0.09,0.18,0.13,0.05,0.01
11,12,1.18,0.87,26.05,-1.28,0.97,2.22,0.00,0.00,1.00,1.00,-2.25,-7.354e-04,0.02,-2.04,-1.2465e-03,0.19,-1.70,-2.484e-03,-0.21,0.34,386.17,0.70,0.72,0.07,0.06,0.12,0.19,0.08,0.01
11,13,1.09,0.87,12.90,-1.09,0.96,2.50,0.00,0.00,1.00,1.00,-1.53,4.838e-04,-0.10,-1.51,-1.0555e-03,0.09,-2.16,-1.592e-03,-0.13,0.27,637.21,0.65,0.72,0.11,0.11,0.16,0.14,0.06,0.01
12,1,0.97,0.85,14.31,-1.10,0.94,3.07,0.00,0.00,1.00,1.00,-1.78,-1.784e-04,-0.02,-1.18,1.093e-03,-0.12,-0.45,7.17e-04,-0.35,0.35,342.15,0.56,0.68,0.09,0.09,0.14,0.14,0.19,0.07
12,2,1.00,0.84,13.90,-1.24,1.01,2.63,0.00,0.00,1.00,1.00,-1.70,7.47e-05,-0.03,-1.92,-2.898e-04,0.08,-1.21,3.91e-04,-0.23,2.66,544.47,0.65,0.69,0.11,0.10,0.11,0.14,0.12,0.05
12,3,0.90,0.86,6.44,-0.66,0.72,2.85,0.00,0.00,1.00,1.00,-1.63,-4.62e-05,-0.03,-1.47,6.221e-04,-0.03,-1.19,-2.77e-04,-0.17,0.42,301.24,0.61,0.67,0.11,0.10,0.13,0.15,0.13,0.06
12,4,1.07,0.84,5.17,-0.45,0.41,4.02,0.00,0.00,1.00,1.00,-1.45,4.431e-04,-0.09,-1.36,-2.32e-04,7.28e-03,-1.57,-5.6e-05,-0.14,1.76,460.50,0.62,0.67,0.12,0.11,0.16,0.16,0.09,0.05
12,6,0.99,0.87,9.69,-0.84,0.84,3.27,0.00,0.00,1.00,1.00,-2.04,-1.1173e-03,0.01,-2.53,-2.1682e-03,0.18,-1.83,4.27e-04,-0.12,2.17,263.76,0.72,0.75,0.09,0.07,0.08,0.09,0.09,0.06
12,7,1.07,0.81,6.28,-0.77,0.85,2.55,0.00,0.00,1.00,1.00,-1.75,1.138e-04,-0.04,-1.58,-6.475e-04,0.04,-1.20,9.4e-04,-0.21,0.43,376.37,0.62,0.68,0.10,0.09,0.13,0.14,0.13,0.08
12,8,0.96,0.84,8.42,-0.88,0.90,3.13,0.00,0.00,1.00,1.00,-1.59,3.825e-04,-0.07,-1.48,6.139e-04,-0.04,-1.08,-5.39e-04,-0.17,0.35,544.47,0.60,0.67,0.10,0.10,0.12,0.15,0.15,0.05
12,9,1.01,0.84,14.95,-1.05,0.95,3.00,0.00,0.00,1.00,1.00,-1.78,-5.828e-04,0.04,-1.73,1.132e-04,0.01,-2.76,-6.85e-04,-0.01,0.88,390.17,0.70,0.70,0.12,0.12,0.12,0.13,0.04,0.03
12,10,1.38,0.81,11.11,-0.92,0.88,2.49,0.00,0.00,1.00,1.00,-1.75,-3.26e-04,-0.01,-2.61,8.85e-05,0.25,-4.73,-3.946e-03,0.51,0.44,308.29,0.76,0.65,0.12,0.09,0.08,0.21,0.01,0.03
12,11,0.91,0.90,15.62,-1.11,0.96,2.55,0.00,0.00,1.00,1.00,-1.79,-8.069e-04,-0.01,-1.47,4.943e-04,0.02,-2.71,-2.878e-03,0.04,0.48,594.07,0.68,0.68,0.11,0.06,0.16,0.23,0.04,0.01
12,12,1.38,0.82,25.13,-1.39,1.00,2.13,0.00,0.00,1.00,1.00,-1.50,-4.696e-04,-0.08,-2.14,1.42e-05,0.17,-2.52,-1.78e-03,-0.05,1.87,425.24,0.70,0.67,0.13,0.07,0.11,0.23,0.05,0.01
12,13,0.95,0.89,14.92,-1.09,0.96,2.52,0.00,0.00,1.00,1.00,-1.66,-8.911e-04,-0.02,-2.00,1.276e-04,0.13,-2.73,-2.214e-03,-6.1e-03,0.44,594.07,0.70,0.68,0.12,0.06,0.11,0.23,0.04,0.01
13,1,0.96,0.86,6.66,-0.82,0.87,2.34,0.00,0.00,1.00,1.00,-1.72,-1.848e-04,-0.02,-1.23,-1.02e-05,-0.09,-0.95,-8.78e-04,-0.13,0.24,275.40,0.57,0.68,0.10,0.10,0.14,0.11,0.17,0.09
13,2,0.66,0.97,4.88,-0.85,1.07,2.71,0.00,0.00,1.00,1.00,-1.28,2.8036e-03,-0.25,-0.37,5.3032e-03,-0.46,-0.31,7.336e-03,-0.57,0.93,132.21,0.57,0.72,0.10,0.08,0.17,0.10,0.15,0.08
13,3,1.04,0.83,11.93,-0.95,0.88,2.41,0.00,0.00,1.00,1.00,-1.68,2.014e-04,-0.02,-1.56,3.914e-04,-0.01,-1.13,-5.74e-04,-0.14,0.28,411.81,0.61,0.66,0.10,0.11,0.12,0.14,0.15,0.07
13,7,0.90,0.84,2.36,-0.41,0.68,1.81,0.00,0.00,1.00,1.00,-1.90,-2.236e-04,6.74e-03,-1.50,4.51e-05,0.01,-1.18,4.65e-04,-0.18,0.44,498.37,0.62,0.65,0.09,0.09,0.14,0.16,0.13,0.08
13,8,1.01,0.85,5.84,-0.74,0.82,2.35,0.00,0.00,1.00,1.00,-1.48,8.329e-04,-0.11,-1.03,9.308e-04,-0.16,-0.72,8.72e-04,-0.24,0.24,275.40,0.56,0.67,0.10,0.10,0.15,0.11,0.18,0.10
13,9,1.02,0.84,13.01,-1.07,0.95,2.52,0.00,0.00,1.00,1.00,-1.41,1.734e-04,-0.05,-1.57,-8.08e-05,-0.02,-1.91,-1.448e-03,-0.11,0.32,620.18,0.64,0.72,0.14,0.13,0.12,0.12,0.07,0.02
13,13,1.27,0.82,13.13,-1.12,0.97,2.19,0.00,0.00,1.00,1.00,-1.45,3.892e-04,-0.09,-2.25,-1.1334e-03,0.22,-1.90,-1.735e-03,-0.15,0.28,620.18,0.68,0.71,0.13,0.11,0.10,0.15,0.07,0.01
14,1,0.89,0.84,7.77,-1.00,0.96,2.41,0.00,0.00,1.00,1.00,-1.69,-4.413e-04,-0.01,-1.11,-7.713e-04,-0.05,-0.94,-1.812e-03,-0.07,0.24,147.47,0.54,0.63,0.09,0.09,0.16,0.14,0.18,0.12
