"SpeciesTypeID","SpeciesTypeName","ForestTypeID","GenusID","CanFI_Code","CoarseRootTurnProp","FineRootTurnPropIntercept","FineRootTurnPropSlope","HwoodDecayMultiplier","SlopeRootToTotal","InterceptRootToTotal","BranchesToBranchSnag"
168,"Mountain-ash",3,12,3960,0.02,0.00,0.64,1.00,0.00,0.00,0.25
169,"Tolerant hardwoods",3,13,4000,0.02,0.00,0.64,1.00,0.00,0.00,0.25
170,"Intolerant hardwoods",3,13,5000,0.02,0.00,0.64,1.00,0.00,0.00,0.25
171,"Not Stocked",9,14,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
172,"Mixedwood",2,15,-1,0.02,0.00,0.64,1.00,0.00,0.00,0.25
173,"White birch & Alaska white birch",3,10,1308,0.02,0.00,0.64,1.00,0.00,0.00,0.25
174,"Jack and lodgepole pine hybrid",1,2,216,0.02,0.00,0.64,1.00,0.00,0.00,0.25
175,"Whitebark and limber pine",1,2,217,0.02,0.00,0.64,1.00,0.00,0.00,0.25
176,"Balsam poplar & black cottonwood",3,9,1212,0.02,0.00,0.64,1.00,0.00,0.00,0.25
177,"Balsam poplar, largetooth aspen & cottonwood",3,9,1211,0.02,0.00,0.64,1.00,0.00,0.00,0.25
178,"Upland hardwoods other than sugar maple",3,13,4500,0.02,0.00,0.64,1.00,0.00,0.00,0.25
179,"Lowland hardwoods (silver & red maple, white elm)",3,13,5500,0.02,0.00,0.64,1.00,0.00,0.00,0.25
180,"Spruce- Genus Type",1,1,5500,0.02,0.00,0.64,1.00,0.00,0.00,0.25
181,"Pine- Genus Type",1,2,5500,0.02,0.00,0.64,1.00,0.00,0.00,0.25
182,"Fir- Genus Type",1,3,5500,0.02,0.00,0.64,1.00,0.00,0.00,0.25
183,"Hemlock- Genus Type",1,4,5500,0.02,0.00,0.64,1.00,0.00,0.00,0.25
184,"Douglas-fir- Genus Type",1,5,5500,0.02,0.00,0.64,1.00,0.00,0.00,0.25
185,"Larch- Genus Type",1,6,5500,0.02,0.00,0.64,1.00,0.00,0.00,0.25
186,"Cedar and other conifers- Genus Type",1,7,5500,0.02,0.00,0.64,1.00,0.00,0.00,0.25
187,"Unspecified conifirs- Genus Type",1,8,5500,0.02,0.00,0.64,1.00,0.00,0.00,0.25
188,"Poplar- Genus Type",3,9,5500,0.02,0.00,0.64,1.00,0.00,0.00,0.25
189,"Birch- Genus Type",3,10,5500,0.02,0.00,0.64,1.00,0.00,0.00,0.25
190,"Maple- Genus Type",3,11,5500,0.02,0.00,0.64,1.00,0.00,0.00,0.25
191,"Other broad-leaved species- Genus Type",3,12,5500,0.02,0.00,0.64,1.00,0.00,0.00,0.25
192,"Unspecified broad-leaved species- Genus Type",3,13,5500,0.02,0.00,0.64,1.00,0.00,0.00,0.25
193,"Missing Value- Genus Type",1,14,5500,0.02,0.00,0.64,1.00,0.00,0.00,0.25
194,"Softwood Forest Type",1,14,5500,0.02,0.00,0.64,1.00,0.00,0.00,0.25
195,"Harwood Forest Type",3,14,5500,0.02,0.00,0.64,1.00,0.00,0.00,0.25
